AMD3DNowEx	Amd3DNowEx
DstOpndListIndex	DestinationOperandListIndex
DtoractionNode	DestructorActionNode
DummyInstr	DummyInstruction
DumpAllFuncletFrameInfo	DumpAllNestedFunctionFrameInfo
DumpCtrl	DumpControl
DumpDotSuccEdges	DumpDotSuccessorEdges
DumpFG	DumpFlowGraph
DumpFuncMentions	DumpFunctionMentions
DumpFuncUnitWithOffsets	DumpFunctionUnitWithOffsets
DumpIRDebugCtrl	DumpIRDebugControl
DumpInstrReaders	DumpInstructionReaders
DumpIr	DumpIR
DumpLoc	DumpLocation
DumpOriginalRvaCtrl	DumpOriginalRvaControl
DumpRefs	DumpReferences
DumpRegs	DumpRegisters
DumpSyms	DumpSymbols
DumpTypeHashStats	DumpTypeHashStatistics
DumpW	DumpWindow
EHDataInstr	EHDataInstruction
EHLabelSymCtrl	EHLabelSymbolControl
EHOpts	EHOptimizations
EHRegionNodeIConstIterator	EHRegionNodeIConstantIterator
EHandlerSym	ExceptionHandlerSymbol
EdgeModes	EdgeMode
EflagsSym	EflagsSymbol
EhstateslistNode	EHStateListNode
ElemBitSize	ElementBitSize
ElemPrimType	ElementPrimitiveType
ElemType	ElementType
EmbedConstLookup	EmbedConstantLookup
EmitGlobalVarSym	EmitGlobalVariableSymbol
EmitReferencedSyms	EmitReferencedSymbols
EmitStackSym	EmitStackSymbol
EmitTypeDef	EmitTypeDefinition
Emul	ExtendedMultiply
EnclosingFuncletNode	EnclosingNestedFunctionNode
EnclosingFuncletRegion	EnclosingNestedFunctionRegion
EncodeInstrExtensionObject	EncodeInstructionExtensionObject
EncodedIRIConstIterator	EncodedIRIConstantIterator
EncodedRegionSeg	EncodedRegionSegment
EndCompilandEnum	EndCompilationUnitEnum
EndInit	EndInitialization
EndInitEventDelegate	EndInitializationEventDelegate
EndInstr	EndInstruction
EndParseParams	EndParseParameters
EndSectContribEnum	EndSectionContributionEnum
EnlistRootOpnd	EnlistRootOperand
EnterInstr	EnterInstruction
EntryPointSym	EntryPointSymbol
EspOpnd	ESPOperand
EstimateRegClassForType	EstimateRegisterCategoryForType
EvalBlock	EvaluateBlock
EvaluateInstrSetTreeType	EvaluateInstructionSetTreeType
EventSymFreeList	EventSymbolFreeList
ExactDefBackward	ExactDefinitionBackward
ExceptHandlerSym	ExceptionHandlerSymbol
ExceptSectSym	ExceptionSectionSymbol
ExitFunc	ExitFunction
ExitOpndList	ExitOperandList
ExitsFunc	ExitsFunction
ExpDef	ExpDefinition
ExpNode	ExpressionNode
ExpOffset	ExpressionOffset
ExpandAsCondLadder	ExpandAsConditionLadder
ExpandMemCpy	ExpandMemoryCopy
ExpandMemSet	ExpandMemorySet
ExploitableParams	ExploitableParameters
ExportSym	ExportSymbol
ExportSymList	ExportSymbolList
Expr	Expression
ExprBuilder	ExpressionBuilder
ExprCtrl	ExpressionControl
ExprNode	ExpressionNode
ExprTable	ExpressionTable
ExprTmpBv	ExpressionTemporaryBitVector
ExternIdToSym	ExternIdToSymbol
ExternMemTag	ExternalMemoryTag
ExtractSrc	ExtractSource
FPUStatus	FpuStatus
FailFastFuncSym	FailFastFunctionSymbol
FalseLabelInstr	FalseLabelInstruction
FeBuild	C1Build
FeMinor	C1Minor
FieldAddr	FieldAddress
FieldSym	FieldSymbol
FieldSymIConstIterator	FieldSymbolIConstantIterator
FileSym	FileSymbol
Filename	FileName
FilterLabelInstr	FilterLabelInstruction
FinalizeFuncletFrame	FinalizeNestedFunctionFrame
FinalizeMemOpnds	FinalizeMemoryOperands
FinalizeMemOpndsInInstr	FinalizeMemoryOperandsInInstruction
FinalizeSym	FinalizeSymbol
FindCandidateOpnd	FindCandidateOperand
FindExactDefBackwardBlock	FindExactDefinitionBackwardBlock
FindLabelRefKind	FindLabelReferenceKind
FindLabelSrcKind	FindLabelSourceKind
FindNextInstr	FindNextInstruction
FindNextRealInstr	FindNextRealInstruction
FindPos	FindPosition
FindPrevNonPragmaInstr	FindPreviousNonPragmaInstruction
FindRootMemOpnd	FindRootMemoryOperand
FindUnaliasedDomDef	FindUnaliasedDomDefinition
FinishTypeDefs	FinishTypeDefinitions
FirstAlternativeEntryLabelOpnd	FirstAlternativeEntryLabelOperand
FirstAssociatedLabelOpnd	FirstAssociatedLabelOperand
FirstChildReg	FirstChildRegister
FirstDstLabelOpnd	FirstDestinationLabelOperand
FirstDstModRefOpnd	FirstDestinationAliasOperand
FirstExitInstr	FirstExitInstruction
FirstImportModuleSym	FirstImportModuleSymbol
FirstInstr	FirstInstruction
FirstRegionSeg	FirstRegionSegment
FirstSrcLabelOpnd	FirstSourceLabelOperand
FixupDefOperand	FixupDefinitionOperand
Fld	Field
FloatCtrlFlags	FloatControlFlags
FloatDivByZero	FloatDivideByZero
FloatOvf	FloatOverflow
FlowOptsPhase	Phase
